acidosGraxosMonoInsaturados,acidosGraxosPoliInsaturados,acidosGraxosSaturados,acidosGraxosTrans,calcio,carboidratoDisponível,carboidratoTotal,cobre,colesterol,energia,equivalenteFolato,ferro,fibraAlimentar,fosforo,lipidios,magnesio,niacina,nome,potassio,proteina,riboflavina,selenio,sodio,tiamina,umidade,vitaminaARAE,vitaminaARE,vitaminaB12,vitaminaB6,vitaminaC,vitaminaD,vitaminaE,zinco
"97,7","4,44","1,74","3,19","0,82","0,42","0,52",319,"0,00",212,"4,75","0,16","0,11",234,"9,44","2,74","0,03","Carne, boi, file mignon, s/ gordura, grelhada, c/ oleo, cebola e alho, c/ sal","27,5","31,3","0,13","3,94","4,93","0,11","57,0","0,00","0,14","4,05","0,08","0,05","0,00","0,00",294
"82,3","3,76","1,40","2,72","0,77","0,85","1,35",320,"0,00",184,"4,00","0,13","0,50",305,"8,09","2,39","0,05","Carne, boi, file mignon, s/ gordura, grelhada, c/ molho de tomate (tomate, c/ oleo, cebola e alho), c/ sal","25,7","26,6","0,23","3,36","5,72","0,09","62,6","0,07","0,14","3,41","0,07","0,05","26,7","13,4",253
"91,5","5,24","1,25","3,19","0,23","2,13","2,16",296,"0,00",208,"4,01","0,22","0,03",104,"10,4","2,36","0,03","Carne, boi, file mignon, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limao e mostarda), s/ sal","24,7","26,5","0,15","3,36","16,5","0,24","59,6","0,02","0,12","3,48","0,08","0,04","0,05","0,03",264
"86,0","4,63","1,28","3,05","0,73","3,27","3,32",302,"0,00",207,"4,10","0,14","0,05","66,1","9,40","2,41","0,04","Carne, boi, file mignon, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal","26,1","27,3","0,28","3,44","36,0","0,09","58,7","1,56","0,12","3,86","0,13","0,04","19,8","19,5",273
"85,9","4,60","1,72","3,04","0,72","3,20","3,25",301,"0,00",206,"4,10","0,14","0,05",245,"9,35","2,40","0,04","Carne, boi, file mignon, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal","26,0","27,3","0,27","3,44","35,4","0,09","58,4","1,53","0,12","3,85","0,13","0,04","19,3","19,1",272
113,"9,20","1,20","4,98","0,33","0,04","0,04",293,"0,00",267,"4,51","0,43","0,00","52,5","16,6","2,58","0,03","Carne, boi, file mignon, s/ gordura, grelhada, c/ manteiga, s/ sal","25,6","29,6","0,25","3,72","4,24","0,11","52,7","0,11","0,13","3,84","0,07","0,04",104,102,278
113,"8,97","1,65","4,88","0,32","0,00","0,00",293,"0,00",264,"4,51","0,41","0,00",232,"16,2","2,58","0,03","Carne, boi, file mignon, s/ gordura, grelhada, c/ manteiga, c/ sal","25,6","29,6","0,24","3,72","4,33","0,11","52,6","0,10","0,13","3,84","0,07","0,04","99,4","98,1",277
"94,6","5,36","1,22","4,72","4,98","0,00","0,00",299,"0,00",266,"1,25","0,19","0,00","53,3","16,1","2,65","0,03","Carne, boi, file mignon, s/ gordura, frita (c/ oleo de soja), s/ sal","26,0","30,2","1,20","3,80","3,97","0,11","52,4","7,32","0,15","3,93","0,07","0,04",tr,tr,283
"94,2","5,33","1,66","4,69","4,96","0,00","0,00",298,"0,00",265,"1,24","0,19","0,00",232,"16,1","2,63","0,03","Carne, boi, file mignon, s/ gordura, frita (c/ oleo de soja), c/ sal","25,9","30,0","1,21","3,79","4,06","0,12","52,2","7,29","0,15","3,91","0,07","0,04",tr,tr,282
"54,8","2,90","1,07","1,90","0,20","0,02","0,02",321,"0,00",137,"3,63","0,11","0,00","48,9","5,61","1,92","0,12","Carne, boi, file mignon, s/ gordura, cru","21,4","21,6","0,22","2,91","2,93","0,10","71,7","5,20","0,08","1,78","0,10","0,04","3,63","3,63",192
103,"4,79","1,43","4,44","5,26","7,50","7,98",357,"0,00",275,"1,13","0,16","0,48",107,"15,4","3,02","0,13","Carne, boi, file mignon, s/ gordura, a milanesa (ovo e farinha de rosca), frita (c/ oleo de soja), s/ sal","30,6","26,3","0,65","3,53","11,7","0,29","49,0","11,8","0,15","1,84","0,16","0,04","20,4","20,3",240
